type,instance,LR value,LR opt,Gurobi value,Gurobi opt,Cplex value,Cplex opt
JobsCorre,1011,5485,1,5485,1,5485,1
JobsCorre,1012,5300,0,5291,1,5291,1
JobsCorre,1013,5228,0,5222,1,5223,0
JobsCorre,1014,5404,0,5401,1,5401,1
JobsCorre,1015,5266,0,5257,1,5257,1
JobsCorre,1016,5339,1,5339,1,5339,1
JobsCorre,1017,5213,0,5207,1,5208,0
JobsCorre,1018,5343,0,5335,1,5336,0
JobsCorre,1019,5236,1,5236,1,5237,0
JobsCorre,1020,5146,1,5146,1,5146,1
JobsCorre,1021,2610,0,2603,0,2604,0
JobsCorre,1022,2587,0,2580,0,2581,0
JobsCorre,1023,2532,0,2522,0,2523,0
JobsCorre,1024,2630,0,2621,0,2622,0
JobsCorre,1025,2562,0,2554,0,2555,0
JobsCorre,1026,2613,0,2606,0,2608,0
JobsCorre,1027,2667,0,2658,0,2659,0
JobsCorre,1028,2583,0,2575,0,2577,0
JobsCorre,1029,2622,0,2613,0,2615,0
JobsCorre,1030,2536,0,2534,0,2535,0
JobsCorre,1031,1740,0,1735,0,1734,0
JobsCorre,1032,1751,0,1743,0,1744,0
JobsCorre,1033,1700,0,1693,0,1695,0
JobsCorre,1034,1739,0,1733,0,1735,0
JobsCorre,1035,1717,0,1709,0,1712,0
JobsCorre,1036,1712,0,1707,0,1707,0
JobsCorre,1037,1703,0,1696,0,1697,0
JobsCorre,1038,1766,0,1761,0,1761,0
JobsCorre,1039,1721,0,1716,0,1717,0
JobsCorre,1040,1721,0,1712,0,1715,0
JobsCorre,1041,1335,0,1331,0,1332,0
JobsCorre,1042,1339,0,1337,0,1336,0
JobsCorre,1043,1264,0,1260,0,1261,0
JobsCorre,1044,1338,0,1334,0,1334,0
JobsCorre,1045,1273,0,1269,0,1269,0
JobsCorre,1046,1253,0,1249,0,1248,0
JobsCorre,1047,1320,0,1315,0,1316,0
JobsCorre,1048,1321,0,1317,0,1318,0
JobsCorre,1049,1319,0,1316,0,1314,0
JobsCorre,1050,1291,0,1288,0,1288,0
JobsCorre,1051,1024,0,1021,0,1024,0
JobsCorre,1052,1034,0,1032,0,1032,0
JobsCorre,1053,1034,0,1030,0,1032,0
JobsCorre,1054,1005,0,1002,0,1002,0
JobsCorre,1055,1020,0,1018,0,1019,0
JobsCorre,1056,1027,0,1024,0,1025,0
